load_spec_no,component_id,qty_per_pallet
160201,PALLET_WOOD_44x56,1.0
160201,TIERSHEET_44x56,5.0
160202,PALLET_WOOD_40x48,1.0
160202,TIERSHEET_40x48,2.0
160203,PALLET_WOOD_40x48,1.0
160203,TIERSHEET_40x48,5.0
160204,PALLET_WOOD_44x56,1.0
160204,TIERSHEET_44x56,4.0
160205,PALLET_WOOD_44x56,1.0
160205,TIERSHEET_44x56,5.0
160206,PALLET_WOOD_40x48,1.0
160206,TIERSHEET_40x48,5.0
160207,PALLET_WOOD_44x56,1.0
160207,TIERSHEET_44x56,2.0
160208,PALLET_WOOD_40x48,1.0
160208,TIERSHEET_40x48,3.0
160209,PALLET_WOOD_40x48,1.0
160209,TIERSHEET_40x48,5.0
210101,PALLET_WOOD_44x56,1.0
210101,TIERSHEET_44x56,8.0
210101,TOPFRAME_WOOD_44x56,1.0
210102,PALLET_WOOD_40x48,1.0
210102,TIERSHEET_40x48,5.0
210102,TOPFRAME_WOOD_40x48,1.0
210103,PALLET_WOOD_40x48,1.0
210103,TIERSHEET_40x48,8.0
210103,TOPFRAME_WOOD_40x48,1.0
210104,HOOD_PLASTIC_40x48,1.0
210104,PALLET_WOOD_40x48,1.0
210104,TIERSHEET_40x48,7.0
210104,TOPFRAME_WOOD_40x48,1.0
210105,PALLET_WOOD_44x56,1.0
210105,TIERSHEET_44x56,7.0
210105,TOPFRAME_WOOD_44x56,1.0
210106,HOOD_PLASTIC_44x56,1.0
210106,PALLET_WOOD_44x56,1.0
210106,TIERSHEET_44x56,8.0
210106,TOPFRAME_WOOD_44x56,1.0
210107,PALLET_WOOD_40x48,1.0
210107,TIERSHEET_40x48,8.0
210107,TOPFRAME_WOOD_40x48,1.0
210108,PALLET_WOOD_40x48,1.0
210108,TIERSHEET_40x48,5.0
210108,TOPFRAME_WOOD_40x48,1.0
210109,HOOD_PLASTIC_44x56,1.0
210109,PALLET_WOOD_44x56,1.0
210109,TIERSHEET_44x56,5.0
210109,TOPFRAME_WOOD_44x56,1.0
210110,PALLET_WOOD_40x48,1.0
210110,TIERSHEET_40x48,6.0
210110,TOPFRAME_WOOD_40x48,1.0
210111,PALLET_WOOD_40x48,1.0
210111,TIERSHEET_40x48,5.0
210111,TOPFRAME_WOOD_40x48,1.0
210112,PALLET_WOOD_44x56,1.0
210112,TIERSHEET_44x56,5.0
210112,TOPFRAME_WOOD_44x56,1.0
210113,PALLET_WOOD_44x56,1.0
210113,TIERSHEET_44x56,7.0
210113,TOPFRAME_WOOD_44x56,1.0
210114,PALLET_WOOD_40x48,1.0
210114,TIERSHEET_40x48,6.0
210114,TOPFRAME_WOOD_40x48,1.0
210115,HOOD_PLASTIC_44x56,1.0
210115,PALLET_WOOD_44x56,1.0
210115,TIERSHEET_44x56,8.0
210115,TOPFRAME_WOOD_44x56,1.0
210116,HOOD_PLASTIC_40x48,1.0
210116,PALLET_WOOD_40x48,1.0
210116,TIERSHEET_40x48,8.0
210116,TOPFRAME_WOOD_40x48,1.0
