210101,41010,Bulk,44x56,7,3241,"Layer sheet on pallet and between each layer; wood top frame"

160201,41010,Carton,44x56,6,2278,"Cartons palletized; sheet between each layer"

210102,41147,Bulk,40x48,4,1936,"Layer sheet on pallet and between each layer; wood top frame"

160202,41147,Carton,40x48,3,1191,"Cartons palletized; sheet between each layer"

210103,41275,Bulk,40x48,7,3325,"Layer sheet on pallet and between each layer; wood top frame"

160203,41275,Carton,40x48,6,2337,"Cartons palletized; sheet between each layer"

210104,41439,Bulk,40x48,6,2814,"Layer sheet on pallet and between each layer; wood top frame"

210105,41584,Bulk,44x56,6,2910,"Layer sheet on pallet and between each layer; wood top frame"

160204,41584,Carton,44x56,5,1988,"Cartons palletized; sheet between each layer"

210106,41708,Bulk,44x56,7,3353,"Layer sheet on pallet and between each layer; wood top frame"

160205,41708,Carton,44x56,6,2357,"Cartons palletized; sheet between each layer"

210107,41837,Bulk,40x48,7,2863,"Layer sheet on pallet and between each layer; wood top frame"

160206,41837,Carton,40x48,6,2012,"Cartons palletized; sheet between each layer"

210108,41963,Bulk,40x48,4,1828,"Layer sheet on pallet and between each layer; wood top frame"

210109,42097,Bulk,44x56,4,1304,"Layer sheet on pallet and between each layer; wood top frame"

160207,42097,Carton,44x56,3,802,"Cartons palletized; sheet between each layer"

210110,42258,Bulk,40x48,5,2845,"Layer sheet on pallet and between each layer; wood top frame"

210111,42398,Bulk,40x48,4,1352,"Layer sheet on pallet and between each layer; wood top frame"

210112,42527,Bulk,44x56,4,1904,"Layer sheet on pallet and between each layer; wood top frame"

210113,42646,Bulk,44x56,6,1710,"Layer sheet on pallet and between each layer; wood top frame"

210114,42796,Bulk,40x48,5,1410,"Layer sheet on pallet and between each layer; wood top frame"

160208,42796,Carton,40x48,4,925,"Cartons palletized; sheet between each layer"

210115,42949,Bulk,44x56,7,3304,"Layer sheet on pallet and between each layer; wood top frame"

210116,43084,Bulk,40x48,7,3290,"Layer sheet on pallet and between each layer; wood top frame"

160209,43084,Carton,40x48,6,2312,"Cartons palletized; sheet between each layer"

